flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
90559969,0,0,0,0,4,0
91064749,0,0,0,0,7,0
4142502,6,53319,443,8823,21,0
92126460,0,0,0,0,4,0
95142301,0,0,0,0,12,0
99007948,0,0,0,0,5,0
101353957,0,0,0,0,6,0
90618099,0,0,0,0,5,0
112158366,0,0,0,0,7,0
90631818,0,0,0,0,4,0
95684006,6,53190,80,1202,10,0
95748058,6,53189,80,2084,17,0
95625430,0,0,0,0,4,0
63448,6,53189,80,0,2,0
63568,6,53190,80,0,2,0
80236501,0,0,0,0,3,0
110384781,0,0,0,0,5,0
10835111,6,53486,443,0,4,0
10630855,6,53492,443,0,4,0
102194,6,53183,443,1,2,0
90014098,17,52599,53,1006,8,0
90198557,17,53059,53,1014,8,0
90199105,17,52176,53,916,8,0
90199105,17,63950,53,935,8,0
90006889,0,0,0,0,3,0
90437839,0,0,0,0,4,0
96246758,0,0,0,0,4,0
118680387,17,5353,5353,6633,30,0
90228642,0,0,0,0,3,0
60540940,17,50497,53,2267,20,0
60305109,17,61793,53,1765,18,0
80254250,0,0,0,0,3,0
117142897,0,0,0,0,40,0
90618849,0,0,0,0,4,0
90763999,0,0,0,0,4,0
92118470,0,0,0,0,4,0
92083734,0,0,0,0,4,0
101784758,0,0,0,0,5,0
76472523,0,0,0,0,3,0
90222361,0,0,0,0,4,0
89949643,0,0,0,0,3,0
110394956,0,0,0,0,5,0
80252932,0,0,0,0,3,0
65627114,6,53516,443,0,4,0
31293065,0,0,0,0,7,0
110383682,0,0,0,0,5,0
104338798,0,0,0,0,7,0
90113273,0,0,0,0,4,0
605757,0,0,0,0,4,0
63083154,0,0,0,0,5,0
90068223,17,52176,53,966,8,0
90070796,17,53059,53,968,8,0
90003772,17,52599,53,868,8,0
90087757,17,63950,53,1014,8,0
58880376,6,53183,443,77,7,0
80256924,0,0,0,0,3,0
109,0,0,0,0,2,0
117132623,0,0,0,0,40,0
91085617,0,0,0,0,4,0
90966452,0,0,0,0,4,0
161866,0,0,0,0,2,0
378608,0,0,0,0,3,0
92129837,0,0,0,0,4,0
92146603,0,0,0,0,4,0
90491524,0,0,0,0,4,0
102410416,0,0,0,0,5,0
90282584,0,0,0,0,3,0
102442675,0,0,0,0,3,0
80252325,0,0,0,0,3,0
90005481,0,0,0,0,3,0
90232739,0,0,0,0,3,0
110633936,0,0,0,0,5,0
145962,0,0,0,0,3,0
30054069,0,0,0,0,5,0
62745341,0,0,0,0,2,0
379940,0,0,0,0,4,0
110404185,0,0,0,0,6,0
90012733,0,0,0,0,3,0
449066,0,0,0,0,4,0
37262,17,52599,53,214,2,0
162450,17,52176,53,226,2,0
162116,17,63950,53,264,2,0
76767527,17,5353,5353,1977,50,0
109569274,0,0,0,0,4,0
16439230,0,0,0,0,3,0
77355,6,53183,443,1,2,0
80216324,0,0,0,0,3,0
117042220,0,0,0,0,40,0
90436251,0,0,0,0,4,0
90551592,0,0,0,0,4,0
92118658,0,0,0,0,4,0
92102758,0,0,0,0,4,0
90110971,0,0,0,0,5,0
492568,0,0,0,0,5,0
90271646,0,0,0,0,3,0
102784438,0,0,0,0,7,0
80229670,0,0,0,0,3,0
91128156,0,0,0,0,3,0
1118433,0,0,0,0,9,0
1025583,0,0,0,0,11,0
1153065,0,0,0,0,11,0
201594,0,0,0,0,4,0
90043237,0,0,0,0,2,0
643937,0,0,0,0,5,0
83111690,17,50497,53,680,6,0
41653062,17,61884,53,453,4,0
89980197,0,0,0,0,3,0
159,0,0,0,0,2,0
110392455,0,0,0,0,5,0
402677,0,0,0,0,3,0
641111,0,0,0,0,4,0
110391939,0,0,0,0,5,0
89999391,0,0,0,0,3,0
90582838,0,0,0,0,3,0
67255678,0,0,0,0,3,0
25963718,0,0,0,0,2,0
65631673,6,53561,443,0,4,0
64121461,17,5353,5353,762,2,0
80395328,0,0,0,0,3,0
117351607,0,0,0,0,40,0
565180,0,0,0,0,5,0
90493004,0,0,0,0,4,0
109107338,0,0,0,0,4,0
90524976,0,0,0,0,4,0
92129672,0,0,0,0,4,0
92080013,0,0,0,0,4,0
90726443,0,0,0,0,4,0
119740827,0,0,0,0,2,0
101470799,0,0,0,0,5,0
80401433,0,0,0,0,3,0
90173135,0,0,0,0,3,0
107974425,0,0,0,0,2,0
107999750,0,0,0,0,2,0
108052838,0,0,0,0,2,0
60271147,6,53183,443,53,5,0
90819340,0,0,0,0,3,0
110272206,0,0,0,0,5,0
97733279,0,0,0,0,5,0
4293,17,52599,53,214,2,0
90006884,0,0,0,0,5,0
110398346,0,0,0,0,5,0
152,0,0,0,0,2,0
119803245,17,5353,5353,732,12,0
80412616,0,0,0,0,3,0
117387980,0,0,0,0,40,0
537254,0,0,0,0,2,0
90617697,0,0,0,0,4,0
90520911,0,0,0,0,4,0
92122962,0,0,0,0,4,0
314670,0,0,0,0,2,0
92035399,0,0,0,0,4,0
90215247,0,0,0,0,3,0
75117433,17,49665,53,426,6,0
112834502,0,0,0,0,5,0
80413806,0,0,0,0,3,0
