flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,21773,60605,0,0,TCP
7,6,21773,60605,0,0,TCP
7,6,5369,56490,0,0,TCP
7,6,5369,56490,0,0,TCP
6,6,52344,52553,0,0,TCP
6,6,52344,52553,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,6,18258,38089,0,0,TCP
6,6,18258,38089,0,0,TCP
6,6,20,80,0,0,TCP
6,6,20,80,0,0,TCP
6,6,20,80,0,0,TCP
6,6,20,80,0,0,TCP
5,6,60723,40239,0,0,TCP
5,6,60723,40239,0,0,TCP
5,6,38362,17966,0,0,TCP
5,6,38362,17966,0,0,TCP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
4,6,47529,12738,0,0,TCP
4,6,47529,12738,0,0,TCP
4,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,37564,58826,0,0,TCP
3,6,37564,58826,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,56444,46546,0,0,TCP
3,6,56444,46546,0,0,TCP
3,17,53,80,0,0,UDP
3,17,53,80,0,0,UDP
3,17,53,80,0,0,UDP
3,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,62477,34315,0,0,TCP
2,6,62477,34315,0,0,TCP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,6,20,80,0,0,TCP
1,6,20,80,0,0,TCP
1,6,20,80,0,0,TCP
1,6,20,80,0,0,TCP
1,6,24048,31940,0,0,TCP
0,6,24048,31940,0,0,TCP
0,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
2,1,0,0,0,0,ICMP
1,1,0,0,0,0,ICMP
1,1,0,0,0,0,ICMP
1,1,0,0,0,0,TCP
0,1,0,0,0,0,UDP
0,1,0,0,0,0,ICMP
0,1,0,0,0,0,ICMP
0,1,0,0,0,0,ICMP
9,6,14977,57114,0,0,TCP
9,6,14977,57114,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,35408,63655,0,0,TCP
9,6,35408,63655,0,0,TCP
9,17,53,80,0,0,UDP
9,17,53,80,0,0,UDP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
8,6,1009,39166,0,0,TCP
8,6,1009,39166,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,6,24209,44797,0,0,TCP
8,6,24209,44797,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,6,52287,61420,0,0,TCP
7,6,52287,61420,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20522,42641,0,0,TCP
7,6,20522,42641,0,0,TCP
6,6,4234,62994,0,0,TCP
6,6,4234,62994,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,6,22813,39978,0,0,TCP
6,6,22813,39978,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,16375,33283,0,0,TCP
6,6,16375,33283,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
5,6,64843,16301,0,0,TCP
5,6,64843,16301,0,0,TCP
5,6,4014,23547,0,0,TCP
5,6,4014,23547,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,16393,64787,0,0,TCP
4,6,16393,64787,0,0,TCP
4,17,53,80,0,0,UDP
4,17,53,80,0,0,UDP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,44854,59162,0,0,TCP
2,6,44854,59162,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,5384,58986,0,0,TCP
2,6,5384,58986,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,6,8650,22389,0,0,TCP
1,6,8650,22389,0,0,TCP
1,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,1556,12792,0,0,TCP
0,6,1556,12792,0,0,TCP
0,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,20,80,0,0,TCP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,UDP
9,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
7,1,0,0,0,0,ICMP
7,1,0,0,0,0,TCP
7,1,0,0,0,0,ICMP
7,1,0,0,0,0,ICMP
7,1,0,0,0,0,ICMP
9,6,14977,57114,0,0,TCP
9,6,14977,57114,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,35408,63655,0,0,TCP
9,6,35408,63655,0,0,TCP
9,17,53,80,0,0,UDP
9,17,53,80,0,0,UDP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
8,6,1009,39166,0,0,TCP
8,6,1009,39166,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,6,24209,44797,0,0,TCP
8,6,24209,44797,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,6,52287,61420,0,0,TCP
7,6,52287,61420,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20522,42641,0,0,TCP
7,6,20522,42641,0,0,TCP
6,6,4234,62994,0,0,TCP
6,6,4234,62994,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,6,22813,39978,0,0,TCP
6,6,22813,39978,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,16375,33283,0,0,TCP
6,6,16375,33283,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
5,6,64843,16301,0,0,TCP
5,6,64843,16301,0,0,TCP
5,6,4014,23547,0,0,TCP
5,6,4014,23547,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,16393,64787,0,0,TCP
4,6,16393,64787,0,0,TCP
4,17,53,80,0,0,UDP
4,17,53,80,0,0,UDP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,44854,59162,0,0,TCP
2,6,44854,59162,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,5384,58986,0,0,TCP
2,6,5384,58986,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,6,8650,22389,0,0,TCP
1,6,8650,22389,0,0,TCP
1,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,1556,12792,0,0,TCP
0,6,1556,12792,0,0,TCP
0,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,20,80,0,0,TCP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,6,14977,57114,0,0,TCP
9,6,14977,57114,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,12332,30014,0,0,TCP
9,6,35408,63655,0,0,TCP
9,6,35408,63655,0,0,TCP
9,17,53,80,0,0,UDP
9,17,53,80,0,0,UDP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
8,6,1009,39166,0,0,TCP
8,6,1009,39166,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,6,24209,44797,0,0,TCP
8,6,24209,44797,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,6,52287,61420,0,0,TCP
7,6,52287,61420,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20522,42641,0,0,TCP
7,6,20522,42641,0,0,TCP
6,6,4234,62994,0,0,TCP
6,6,4234,62994,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,6,22813,39978,0,0,TCP
6,6,22813,39978,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,30316,50445,0,0,TCP
6,6,16375,33283,0,0,TCP
6,6,16375,33283,0,0,TCP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
6,17,53,80,0,0,UDP
5,6,64843,16301,0,0,TCP
5,6,64843,16301,0,0,TCP
5,6,4014,23547,0,0,TCP
5,6,4014,23547,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,16393,64787,0,0,TCP
4,6,16393,64787,0,0,TCP
4,17,53,80,0,0,UDP
4,17,53,80,0,0,UDP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,61919,29086,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,5212,25221,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,44854,59162,0,0,TCP
2,6,44854,59162,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,5384,58986,0,0,TCP
2,6,5384,58986,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,6,8650,22389,0,0,TCP
1,6,8650,22389,0,0,TCP
1,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,1556,12792,0,0,TCP
0,6,1556,12792,0,0,TCP
0,17,53,80,0,0,UDP
0,17,53,80,0,0,UDP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,48187,47171,0,0,TCP
0,6,20,80,0,0,TCP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
10,17,53,80,0,0,UDP
9,17,53,80,0,0,UDP
9,6,20,80,0,0,TCP
9,6,20,80,0,0,TCP
9,6,19044,62149,0,0,TCP
9,6,19044,62149,0,0,TCP
9,6,39259,48768,0,0,TCP
9,6,39259,48768,0,0,TCP
9,17,53,80,0,0,UDP
9,17,53,80,0,0,UDP
9,6,54121,7059,0,0,TCP
9,6,54121,7059,0,0,TCP
8,6,57502,9381,0,0,TCP
8,6,57502,9381,0,0,TCP
8,6,18528,54336,0,0,TCP
8,6,18528,54336,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,6,20,80,0,0,TCP
8,17,53,80,0,0,UDP
8,17,53,80,0,0,UDP
8,6,12439,17791,0,0,TCP
8,6,12439,17791,0,0,TCP
7,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,6,20,80,0,0,TCP
7,17,53,80,0,0,UDP
7,17,53,80,0,0,UDP
6,6,13173,30276,0,0,TCP
6,6,13173,30276,0,0,TCP
6,6,48070,36895,0,0,TCP
6,6,48070,36895,0,0,TCP
6,6,17390,59166,0,0,TCP
5,6,17390,59166,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
5,6,20,80,0,0,TCP
5,6,20,80,0,0,TCP
5,6,42455,21416,0,0,TCP
5,6,42455,21416,0,0,TCP
5,6,25100,17334,0,0,TCP
5,6,25100,17334,0,0,TCP
5,17,53,80,0,0,UDP
5,17,53,80,0,0,UDP
4,17,53,80,0,0,UDP
4,17,53,80,0,0,UDP
4,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,59286,49934,0,0,TCP
4,6,59286,49934,0,0,TCP
4,6,20,80,0,0,TCP
4,6,20,80,0,0,TCP
4,6,11491,34325,0,0,TCP
4,6,11491,34325,0,0,TCP
3,6,14850,27033,0,0,TCP
3,6,14850,27033,0,0,TCP
3,17,53,80,0,0,UDP
3,17,53,80,0,0,UDP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,55669,1906,0,0,TCP
3,6,55669,1906,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
3,6,30769,13669,0,0,TCP
3,6,30769,13669,0,0,TCP
3,6,20,80,0,0,TCP
3,6,20,80,0,0,TCP
2,6,38059,44995,0,0,TCP
2,6,38059,44995,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
2,17,53,80,0,0,UDP
2,17,53,80,0,0,UDP
2,6,20,80,0,0,TCP
2,6,20,80,0,0,TCP
1,6,51035,38934,0,0,TCP
1,6,51035,38934,0,0,TCP
1,6,12147,29561,0,0,TCP
1,6,12147,29561,0,0,TCP
1,6,20,80,0,0,TCP
1,6,20,80,0,0,TCP
1,6,54542,61723,0,0,TCP
1,6,54542,61723,0,0,TCP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
1,17,53,80,0,0,UDP
0,6,10645,53132,0,0,TCP
0,6,10645,53132,0,0,TCP
0,6,16303,32193,0,0,TCP
0,6,16303,32193,0,0,TCP
0,6,20,80,0,0,TCP
0,6,20,80,0,0,TCP
0,6,21877,55202,0,0,TCP
0,6,21877,55202,0,0,TCP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
9,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
8,1,0,0,0,0,ICMP
